old_url,old_content,new_url
https://api.gouv.fr/les-api/api-loire-atlantique-donnees-ouvertes,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-loire-atlantique-donnees-ouvertes.md,https://www.data.gouv.fr/dataservices/672cf68c65f131fae3434429
https://api.gouv.fr/les-api/api-ma-cantine,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-ma-cantine.md,https://www.data.gouv.fr/dataservices/672cf6a8b93233d94703aadb
https://api.gouv.fr/les-api/api-ma-securite,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-ma-securite.md,https://www.data.gouv.fr/dataservices/672cf646403bf419125795dc
https://api.gouv.fr/les-api/api-marche-inclusion,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-marche-inclusion.md,https://www.data.gouv.fr/dataservices/672cf692a37a79f6ff3e324f
https://api.gouv.fr/les-api/api-marche-travail,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-marche-travail.md,https://www.data.gouv.fr/dataservices/672cf65f739fcf87e0f02be2
https://api.gouv.fr/les-api/api-mes-aides-reno,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-mes-aides-reno.md,https://www.data.gouv.fr/dataservices/672cf6a1ce89cb14e31f0fb8
https://api.gouv.fr/les-api/api-metadonnees-insee,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-metadonnees-insee.md,https://www.data.gouv.fr/dataservices/672cf9c1c1fa613534d1d739
https://api.gouv.fr/les-api/api-mirabel,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-mirabel.md,https://www.data.gouv.fr/dataservices/672cf66a55292111be09eff7
https://api.gouv.fr/les-api/api-mobilic,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-mobilic.md,https://www.data.gouv.fr/dataservices/672cf650ab1def0132e0fc7c
https://api.gouv.fr/les-api/api-mon-entreprise,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-mon-entreprise.md,https://www.data.gouv.fr/dataservices/672cf684c3488a0c533f7094
https://api.gouv.fr/les-api/api-onisep,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-onisep.md,https://www.data.gouv.fr/dataservices/672cf6895e554cca4a916029
https://api.gouv.fr/les-api/api-open-data-urssaf,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-open-data-urssaf.md,https://www.data.gouv.fr/dataservices/672cf98bba3bba62085cd925
https://api.gouv.fr/les-api/api-orphacode,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-orphacode.md,https://www.data.gouv.fr/dataservices/672cf64e6a8456f417812b0c
https://api.gouv.fr/les-api/api-particulier,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-particulier.md,https://www.data.gouv.fr/dataservices/672cf668fcc8065be6e66f52
